Feature,Importance
cat__gouvernorat_Inconnu,0.20528528736583013
num__niveau_courant_et,0.13178892240016135
cat__sexe_F,0.08262733659962446
cat__sexe_M,0.07691581219094112
cat__classe_prec_et_Non Applicable,0.04535408444914646
cat__gouvernorat_Ariana,0.041491577540349496
cat__gouvernorat_Tunis,0.02411093716401431
cat__gouvernorat_Bizerte,0.019098757241207368
cat__classe_prec_et_1DSI-AS1-1,0.01836299667705103
cat__classe_prec_et_3-LBC-BI-2,0.016308024580046224
cat__gouvernorat_Gafsa,0.01604288343914508
cat__gouvernorat_Nabeul,0.015345632566480336
cat__gouvernorat_Siliana,0.01116771519219549
cat__classe_prec_et_1-LBC-1,0.010691052065227025
cat__gouvernorat_Ben Arous,0.009839688165560113
cat__classe_prec_et_1-BA-2,0.009611620977136567
cat__classe_prec_et_1-LBC-16,0.00945182502865023
cat__classe_prec_et_1-BA-4,0.009115926957997367
cat__classe_prec_et_1-LBC-12,0.008950999090474615
cat__classe_prec_et_1-LSG-5,0.008110241063780872
cat__classe_prec_et_1-FIND-1,0.007860158721005003
cat__gouvernorat_Kairouan,0.007646129756458232
cat__gouvernorat_Zaghouan,0.007193942865119725
cat__gouvernorat_Le Kef,0.007137596722992489
cat__gouvernorat_Sidi Bouzid,0.006934364326705442
cat__classe_prec_et_1-LBC-8,0.006888442172087686
cat__classe_prec_et_1-LSG-6,0.006758130157324472
cat__classe_prec_et_1-LSG-1,0.006553867582564938
cat__gouvernorat_La Manouba,0.006369300653233398
cat__classe_prec_et_1-BA-3,0.006121041943294988
cat__gouvernorat_Médenine,0.005897068978080925
cat__classe_prec_et_1-LBC-5,0.00588583542450405
cat__classe_prec_et_1-MDSI-1,0.005664351523381814
cat__classe_prec_et_1-LBC-9,0.005625779301211646
cat__classe_prec_et_1-LSG-4,0.005495262784887255
cat__gouvernorat_Sfax,0.005481426004624169
cat__classe_prec_et_1-LSG-3,0.005431844327327103
cat__classe_prec_et_1-LBC-7,0.0052144013432198376
cat__classe_prec_et_1-LBC-10,0.005196981260547829
cat__gouvernorat_Béja,0.005162378010883544
cat__classe_prec_et_1-LBC-3,0.0051619013866709374
cat__classe_prec_et_1-LSG-7,0.004859601290214381
cat__classe_prec_et_1-LBC-13,0.0047799351927502445
cat__gouvernorat_Gabès,0.0046106542155355534
cat__gouvernorat_Jendouba,0.004374382695566364
cat__gouvernorat_Sousse,0.004374202200889527
cat__classe_prec_et_1-LSG-8,0.004359239090484019
cat__classe_prec_et_1-MKD-1,0.004340746405778943
cat__classe_prec_et_1-LSG-2,0.00416471318779562
cat__classe_prec_et_1-LBC-4,0.003906932517664786
cat__classe_prec_et_2-LSG-6,0.0038487883657346406
cat__gouvernorat_Kébili,0.0037637736603013355
cat__gouvernorat_Monastir,0.0037525024849242583
cat__classe_prec_et_1-MDSI-4,0.0035889772167713102
cat__classe_prec_et_1-LBC-2,0.003582261408719941
cat__classe_prec_et_1-LBC-6,0.003562315708935246
cat__classe_prec_et_1-LBC-15,0.003444303712242357
cat__classe_prec_et_1-BA-1,0.003303811915479821
cat__gouvernorat_Kasserine,0.003149800564369156
cat__classe_prec_et_1-LBC-11,0.002766866470162081
cat__classe_prec_et_1-MKD-2,0.0027431506187343994
cat__classe_prec_et_1-GAMMA-1,0.0027227843844394293
cat__gouvernorat_Mahdia,0.0026543062404053453
cat__classe_prec_et_1-BA-6,0.0024655260707325
cat__classe_prec_et_1-LBC-14,0.0023439790487970583
cat__classe_prec_et_1-MDSI-2,0.002074135821303534
cat__classe_prec_et_1-BA-5,0.002036375378459747
cat__gouvernorat_Tozeur,0.0020290266164826785
cat__classe_prec_et_1-LSG-9,0.0018310721570686146
cat__classe_prec_et_1-MDSI-3,0.001447571354392319
cat__classe_prec_et_2-LSC-2,0.0009229980659900976
cat__classe_prec_et_1-MCCA-1,0.0009099421900383414
cat__classe_prec_et_3-LSC-1,0.0008493527289710604
cat__classe_prec_et_2-LBC-BIS1,0.0005626348577883493
cat__gouvernorat_Tataouine,0.0005042779475099198
cat__classe_prec_et_2-LSG-4,9.310203516700648e-06
cat__classe_prec_et_2-LSG-2,8.222009905226816e-06
cat__classe_prec_et_2-LBC-BIS4,0.0
cat__classe_prec_et_2-LSG-1,0.0
